subject_id,course_code,semester,active,subject_name,professor,department,grade,subject_type,class_method,credits,is_night,wishlist_count,wishlist_user_count,required_count,avg_wishlist_priority,timetable_count,timetable_user_count,combined_user_count,total_saved_actions,first_wishlist_at,last_wishlist_at,first_timetable_at,last_timetable_at
11794,,,True,대학영어회화1,유원,법학부,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-04 04:44:43.818008,2026-02-04 04:44:43.818008
11795,,,True,대학영어회화1,코리 로슨,국어국문학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 14:00:53.162828,2026-02-02 14:00:53.162828
11804,,,True,대학영어회화1,"브렌트 맥
납",독어독문학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 07:55:25.394000,2026-02-02 07:55:25.394000
11811,,,True,대학영어회화1,코리 로슨,불어불문학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-04 06:23:48.599977,2026-02-04 06:23:48.599977
11814,,,True,대학영어회화1,데릭 스톤,불어불문학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 15:24:59.164145,2026-02-02 15:24:59.164145
11819,,,True,대학영어회화1,"브렌트 맥
납",수학과,2.0,기교,OFFLINE,1,False,1,1,0,3.0,0,0,1,1,2026-02-02 09:05:24.092284,2026-02-02 09:05:24.092284,,
11827,,,True,대학영어회화1,코리 로슨,화학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-04 06:42:01.352426,2026-02-04 06:42:01.352426
11830,,,True,대학영어회화1,데릭 스톤,화학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 12:57:44.529238,2026-02-02 12:57:44.529238
11832,,,True,대학영어회화1,알란,물리학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 08:28:50.046910,2026-02-02 08:28:50.046910
11833,,,True,대학영어회화1,알란,화학과,2.0,기교,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 08:58:18.677204,2026-02-02 08:58:18.677204
